timestamp,x,y,event_type,speed,acceleration
1747104102612,2587,1423,move,0.52,0.06
1747104102620,2590,1426,move,0.53,0.07
1747104102628,2590,1427,move,0.13,0.02
1747104102634,2590,1430,move,0.53,0.09
1747104102642,2590,1432,move,0.24,0.03
1747104102650,2590,1435,move,0.37,0.05
1747104102658,2588,1438,move,0.45,0.06
1747104102664,2585,1439,move,0.53,0.09
1747104102672,2584,1440,move,0.18,0.02
1747104102680,2583,1441,move,0.18,0.02
1747104102688,2582,1441,move,0.12,0.02
1747104102702,2581,1441,move,0.07,0.01
1747104102875,2580,1441,move,0.01,0.0
1747104102883,2579,1441,move,0.13,0.02
1747104102891,2577,1440,move,0.28,0.03
1747104102899,2575,1437,move,0.47,0.06
1747104102905,2570,1434,move,0.94,0.15
1747104102913,2563,1427,move,1.26,0.16
1747104102921,2554,1422,move,1.3,0.16
1747104102929,2542,1414,move,1.77,0.22
1747104102935,2530,1408,move,2.25,0.38
1747104102943,2513,1399,move,2.41,0.3
1747104102951,2496,1388,move,2.56,0.32
1747104102959,2476,1380,move,2.59,0.31
1747104102965,2459,1369,move,3.52,0.61
1747104102973,2440,1360,move,2.56,0.31
1747104102981,2423,1350,move,2.56,0.33
1747104102988,2408,1339,move,2.45,0.32
1747104102995,2388,1324,move,3.95,0.63
1747104103002,2368,1306,move,3.86,0.55
1747104103010,2344,1284,move,3.79,0.44
1747104103019,2309,1252,move,5.57,0.65
1747104103025,2261,1205,move,11.36,1.92
1747104103033,2199,1146,move,10.57,1.31
1747104103040,2125,1076,move,13.62,1.82
1747104103049,2046,997,move,12.57,1.41
1747104103054,1963,925,move,20.52,3.83
1747104103062,1880,858,move,13.38,1.68
1747104103071,1797,791,move,13.14,1.62
1747104103078,1715,729,move,14.28,1.98
1747104103085,1649,681,move,11.7,1.68
1747104103093,1589,639,move,9.18,1.15
1747104103101,1540,606,move,7.35,0.91
1747104103109,1502,580,move,5.59,0.68
1747104103115,1475,562,move,5.85,1.05
1747104103122,1452,547,move,3.44,0.43
1747104103131,1435,536,move,2.45,0.3
1747104103139,1420,528,move,2.19,0.28
1747104103144,1408,520,move,2.56,0.45
1747104103152,1401,512,move,1.28,0.15
1747104103160,1394,505,move,1.24,0.15
1747104103169,1389,500,move,0.87,0.11
1747104103174,1386,498,move,0.64,0.11
1747104103182,1385,493,move,0.62,0.08
1747104103191,1382,490,move,0.52,0.06
1747104103196,1381,488,move,0.44,0.09
1747104103204,1378,485,move,0.5,0.06
1747104103212,1377,482,move,0.4,0.05
1747104103221,1374,481,move,0.37,0.04
1747104103227,1374,480,move,0.17,0.03
1747104103234,1373,480,move,0.13,0.02
1747104103242,1373,478,move,0.25,0.03
1747104103406,1373,478,press_left,0,0
1747104103475,1373,478,release_left,0,0
1747104103722,1373,479,move,0.0,0.0
1747104103730,1373,480,move,0.13,0.02
1747104103736,1374,481,move,0.22,0.03
1747104103744,1378,485,move,0.7,0.09
1747104103752,1385,488,move,1.02,0.14
1747104103760,1389,493,move,0.78,0.09
1747104103767,1398,496,move,1.48,0.23
1747104103774,1408,502,move,1.48,0.19
1747104103782,1417,508,move,1.35,0.17
1747104103790,1429,516,move,1.8,0.23
1747104103796,1444,524,move,2.82,0.47
1747104103805,1463,535,move,2.68,0.33
1747104103813,1483,548,move,2.97,0.37
1747104103820,1512,563,move,4.51,0.62
1747104103826,1543,578,move,5.76,0.96
1747104103834,1578,594,move,4.51,0.53
1747104103842,1610,613,move,4.63,0.58
1747104103851,1641,628,move,4.25,0.52
1747104103856,1668,646,move,5.71,1.0
1747104103864,1688,659,move,2.91,0.36
1747104103873,1708,677,move,3.35,0.42
1747104103880,1723,692,move,2.69,0.34
1747104103887,1738,709,move,3.61,0.58
1747104103894,1751,724,move,2.54,0.33
1747104103902,1759,736,move,1.94,0.26
1747104103910,1767,748,move,1.75,0.21
1747104103916,1771,757,move,1.6,0.26
1747104103924,1772,763,move,0.76,0.1
1747104103932,1772,769,move,0.75,0.09
1747104103940,1772,772,move,0.37,0.04
1747104103947,1772,774,move,0.33,0.05
1747104103955,1772,776,move,0.25,0.03
1747104104037,1772,776,press_left,0,0
1747104104113,1772,776,release_left,0,0
1747104104211,1772,776,move,0.0,0.0
1747104104216,1770,776,move,0.34,0.06
1747104104223,1765,776,move,0.72,0.1
1747104104232,1757,775,move,0.89,0.1
1747104104240,1746,773,move,1.48,0.2
1747104104246,1727,771,move,3.18,0.53
1747104104254,1706,772,move,2.49,0.3
1747104104262,1681,776,move,3.16,0.4
1747104104268,1654,786,move,5.06,0.89
1747104104277,1615,797,move,4.8,0.57
1747104104285,1576,811,move,5.18,0.65
1747104104293,1535,828,move,5.55,0.69
1747104104301,1496,842,move,5.19,0.65
1747104104304,1463,852,move,9.4,2.56
1747104104312,1434,862,move,3.83,0.48
1747104104320,1401,872,move,4.31,0.54
1747104104329,1367,885,move,3.95,0.43
1747104104336,1331,902,move,5.68,0.81
1747104104344,1290,922,move,5.71,0.71
1747104104352,1252,946,move,5.62,0.7
1747104104360,1218,971,move,5.28,0.66
1747104104365,1189,995,move,8.96,2.13
1747104104373,1165,1017,move,4.07,0.51
1747104104382,1149,1034,move,2.38,0.24
1747104104387,1134,1049,move,5.04,1.2
1747104104395,1124,1062,move,1.88,0.21
1747104104404,1111,1077,move,2.2,0.24
1747104104411,1101,1089,move,2.46,0.39
1747104104419,1091,1103,move,2.15,0.27
1747104104423,1080,1118,move,4.34,1.01
1747104104433,1072,1133,move,1.71,0.17
1747104104441,1064,1147,move,2.0,0.25
1747104104450,1057,1164,move,2.07,0.23
1747104104455,1053,1178,move,2.64,0.48
1747104104464,1047,1192,move,1.72,0.19
1747104104472,1045,1204,move,1.52,0.19
1747104104476,1043,1217,move,3.29,0.82
1747104104484,1041,1231,move,1.76,0.22
1747104104505,1041,1245,move,0.68,0.03
1747104104505,1042,1258,move,0,0
1747104104509,1044,1272,move,3.34,0.79
1747104104516,1048,1289,move,2.45,0.34
